timestamp,origin,destination,distance_m,duration_s
2026-05-14 11:47:22.382344,Ben Thanh Market,Thu Duc,12775.1,850.4
2026-05-14 11:47:24.213694,Landmark 81,Tan Son Nhat Airport,10350.4,853.9
2026-05-14 11:47:26.010088,Suoi Tien,Landmark 81,14690.4,985.9
2026-05-14 11:47:27.821029,Pham Van Dong,VNU HCM,13296.3,989.7
2026-05-14 11:47:29.620397,Landmark 81,Pham Van Dong,6264,497.9
2026-05-14 11:47:31.440350,Tan Son Nhat Airport,District 5,8273.4,683.5
2026-05-14 11:47:33.296751,High Tech Park,Tan Son Nhat Airport,21205.5,1475.1
2026-05-14 11:47:35.100199,District 5,Linh Trung,23267.2,1430.4
2026-05-14 11:47:36.952033,VNU HCM,Linh Trung,5596,550.8
2026-05-14 11:47:38.750269,Pham Van Dong,District 1,8919.3,642.7
2026-05-14 11:47:40.570195,Suoi Tien,Ben Thanh Market,19040,1294.2
2026-05-14 11:47:42.450013,VNU HCM,Saigon Bridge,15804.4,1027.3
2026-05-14 11:47:44.296713,Suoi Tien,Linh Trung,3578.5,380.2
2026-05-14 11:47:46.090190,Eastern Bus Station,High Tech Park,16971.4,911
2026-05-14 11:47:47.901041,Saigon Bridge,High Tech Park,15062.2,937.7
2026-05-14 11:47:49.753495,Thu Duc,District 3,13903.5,903.3
2026-05-14 11:47:51.573829,High Tech Park,Thu Thiem Tunnel,19671.4,1280.7
2026-05-14 11:47:53.399984,High Tech Park,District 1,18893.6,1221.7
2026-05-14 11:47:55.230389,Saigon Bridge,VNU HCM,16454.8,1053.9
2026-05-14 11:47:57.060038,Pham Van Dong,Tan Son Nhat Airport,9751,723.3
2026-05-14 11:47:58.861029,Pham Van Dong,Linh Trung,11279.3,809.9
2026-05-14 11:48:00.680400,Saigon Bridge,District 3,6374.8,490.8
2026-05-14 11:48:02.490286,Thu Duc,Linh Trung,6943.1,520.4
2026-05-14 11:48:04.360337,Thu Thiem Tunnel,Linh Trung,16733.2,1112.5
2026-05-14 11:48:06.230371,Pham Van Dong,District 1,8919.3,642.7
2026-05-14 11:48:09.263310,Linh Trung,Tan Son Nhat Airport,20834.3,1298.2
2026-05-14 11:48:11.094410,District 5,District 3,4436.2,365.6
2026-05-14 11:48:13.048854,Eastern Bus Station,Suoi Tien,14427.7,708.6
2026-05-14 11:48:14.936041,District 5,District 1,5848.2,458.1
2026-05-14 11:48:16.793887,Binh Thanh,District 1,4851.6,361.7
2026-05-14 11:48:18.702266,Pham Van Dong,District 5,12532.1,864.3
2026-05-14 11:48:20.537937,Thu Thiem Tunnel,District 1,4200.3,371.8
2026-05-14 11:48:22.387205,Ben Thanh Market,Thu Thiem Tunnel,2691.8,249.3
2026-05-14 11:48:24.261800,Linh Trung,Hang Xanh,15433.2,896.1
2026-05-14 11:48:26.090677,Thu Duc,District 5,16721.3,1096
2026-05-14 11:48:27.900233,Thu Thiem Tunnel,Landmark 81,4899.5,433.1
2026-05-14 11:48:29.717717,Landmark 81,Suoi Tien,13521.8,861.4
2026-05-14 11:48:31.564596,VNU HCM,Thu Thiem Tunnel,21024.4,1421
2026-05-14 11:48:33.386848,Thu Duc,Linh Trung,6943.1,520.4
2026-05-14 11:48:35.223686,District 5,Landmark 81,8982.3,719.6
2026-05-14 11:48:37.015515,District 1,District 3,3560.6,309.5
2026-05-14 11:48:38.858113,Hang Xanh,Binh Thanh,2552.6,169.4
2026-05-14 11:48:40.691142,Thu Duc,VNU HCM,8960.1,700.2
2026-05-14 11:48:42.539431,Suoi Tien,VNU HCM,3163.8,311.9
2026-05-14 11:48:44.420386,High Tech Park,Hang Xanh,15531.1,976.4
2026-05-14 11:48:46.318452,Suoi Tien,Saigon Bridge,14139.3,911.5
2026-05-14 11:48:48.140282,High Tech Park,Thu Duc,7502.3,551.3
