timestamp,time_label,src_name,dst_name,src_poi,dst_poi,travel_time_s,free_flow_time_s,traffic_delay_s,length_m,congestion_ratio
2026-07-28 15:44:20,normal,Ben Thanh Market,District 1,commercial,mixed,358,0,19,1027,1.053
2026-07-28 15:44:20,normal,Ben Thanh Market,Tan Son Nhat Airport,commercial,transport,2339,0,32,12510,1.014
2026-07-28 15:44:20,normal,Ben Thanh Market,Landmark 81,commercial,commercial,1141,0,0,6249,1.0
2026-07-28 15:44:20,normal,Ben Thanh Market,District 5,commercial,residential,1013,0,0,4596,1.0
2026-07-28 15:44:20,normal,Ben Thanh Market,Suoi Tien,commercial,commercial,2413,0,102,18587,1.042
2026-07-28 15:44:20,normal,District 1,Ben Thanh Market,mixed,commercial,173,0,0,585,1.0
2026-07-28 15:44:20,normal,Ben Thanh Market,Saigon Bridge,commercial,bridge,1189,0,0,6443,1.0
2026-07-28 15:44:20,normal,Ben Thanh Market,Eastern Bus Station,commercial,transport,1840,0,60,7813,1.033
2026-07-28 15:44:20,normal,Ben Thanh Market,Hang Xanh,commercial,arterial,1316,0,60,4828,1.046
2026-07-28 15:44:20,normal,District 1,District 3,mixed,residential,972,0,0,3435,1.0
2026-07-28 15:44:20,normal,Ben Thanh Market,VNU HCM,commercial,university,2900,0,93,21315,1.032
2026-07-28 15:44:20,normal,District 1,Eastern Bus Station,mixed,transport,1626,0,179,7047,1.11
2026-07-28 15:44:20,normal,District 1,Landmark 81,mixed,commercial,984,0,122,4709,1.124
2026-07-28 15:44:20,normal,District 1,Tan Son Nhat Airport,mixed,transport,2250,0,291,12124,1.129
2026-07-28 15:44:20,normal,District 1,Linh Trung,mixed,industrial,2534,0,225,18799,1.089
2026-07-28 15:44:20,normal,District 1,High Tech Park,mixed,industrial,2357,0,225,18392,1.095
2026-07-28 15:44:20,normal,District 1,Thu Thiem Tunnel,mixed,transport,641,0,59,3076,1.092
2026-07-28 15:44:20,normal,District 3,Ben Thanh Market,residential,commercial,889,0,132,2922,1.148
2026-07-28 15:44:20,normal,District 3,District 1,residential,mixed,1054,0,151,3520,1.143
2026-07-28 15:44:20,normal,District 3,District 5,residential,residential,933,0,2,4156,1.002
2026-07-28 15:44:20,normal,District 1,Pham Van Dong,mixed,arterial,1613,0,179,7313,1.111
2026-07-28 15:44:20,normal,District 3,Thu Thiem Tunnel,residential,transport,1295,0,158,4729,1.122
2026-07-28 15:44:20,normal,District 3,Saigon Bridge,residential,bridge,1294,0,76,6386,1.059
2026-07-28 15:44:20,normal,District 5,Ben Thanh Market,residential,commercial,1081,0,46,4744,1.043
2026-07-28 15:44:20,normal,District 3,Hang Xanh,residential,arterial,1195,0,115,4970,1.096
2026-07-28 15:44:20,normal,District 3,High Tech Park,residential,industrial,2569,0,179,19846,1.07
2026-07-28 15:44:20,normal,District 5,District 3,residential,residential,1255,0,54,4569,1.043
2026-07-28 15:44:20,normal,District 5,Suoi Tien,residential,commercial,2822,0,0,22202,1.0
2026-07-28 15:44:20,normal,District 5,Binh Thanh,residential,residential,2400,0,140,10092,1.058
2026-07-28 15:44:20,normal,District 5,High Tech Park,residential,industrial,2871,0,0,23651,1.0
2026-07-28 15:44:20,normal,District 5,Thu Duc,residential,mixed,2962,0,129,15571,1.044
2026-07-28 15:44:20,normal,District 5,Saigon Bridge,residential,bridge,1727,0,0,10738,1.0
2026-07-28 15:44:20,normal,Binh Thanh,Tan Son Nhat Airport,residential,transport,1942,0,0,13759,1.0
2026-07-28 15:44:20,normal,Binh Thanh,Ben Thanh Market,residential,commercial,1267,0,0,5491,1.0
2026-07-28 15:44:20,normal,Binh Thanh,District 3,residential,residential,1299,0,0,6218,1.0
2026-07-28 15:44:20,normal,Binh Thanh,District 5,residential,residential,1912,0,0,9031,1.0
2026-07-28 15:44:20,normal,Binh Thanh,Eastern Bus Station,residential,transport,538,0,0,2921,1.0
2026-07-28 15:44:20,normal,Binh Thanh,Thu Duc,residential,mixed,1019,0,0,7833,1.0
2026-07-28 15:44:20,normal,Binh Thanh,Linh Trung,residential,industrial,1916,0,0,14018,1.0
2026-07-28 15:44:20,normal,Binh Thanh,High Tech Park,residential,industrial,1917,0,103,16513,1.054
2026-07-28 15:44:20,normal,Binh Thanh,VNU HCM,residential,university,2174,0,0,16285,1.0
2026-07-28 15:44:20,normal,Binh Thanh,Suoi Tien,residential,commercial,1833,0,103,15169,1.056
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,District 3,transport,residential,1513,0,0,10461,1.0
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,Ben Thanh Market,transport,commercial,2358,0,0,13383,1.0
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,Suoi Tien,transport,commercial,3137,0,0,22503,1.0
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,High Tech Park,transport,industrial,3266,0,0,23847,1.0
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,District 5,transport,residential,2167,0,0,11050,1.0
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,Saigon Bridge,transport,bridge,2432,0,0,14402,1.0
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,Eastern Bus Station,transport,transport,1829,0,0,13125,1.0
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,Thu Thiem Tunnel,transport,transport,2890,0,0,13742,1.0
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,Hang Xanh,transport,arterial,2014,0,0,13754,1.0
2026-07-28 15:44:20,normal,Tan Son Nhat Airport,VNU HCM,transport,university,3351,0,0,25162,1.0
