variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
baseline_ahgnn,42,random_fixed,42,0.2237314283847808,0.5717653036117554,17.15240329504013,0.2218847423791885,0.2232575118541717,0.2824390530586242,0.2335174083709716,0.2396628409624099,0.2172651886940002,0.2199309319257736,0.1514293551445007,0.2211131751537323,0.2154079675674438,100,250243,8.8,cpu,ok,2026-08-22T00:00:09
baseline_ahgnn,43,random_fixed,42,0.2353207319974899,0.3312242031097412,17.709310352802277,0.2309767007827758,0.2416257858276367,0.2783567011356354,0.2575398981571197,0.2898886799812317,0.2319169640541076,0.2233508825302124,0.206767588853836,0.2366225868463516,0.2423448413610458,59,250243,6.0,cpu,ok,2026-08-22T00:00:15
baseline_ahgnn,44,random_fixed,42,0.231713980436325,0.3484164476394653,17.389748990535736,0.2253516763448715,0.2402316480875015,0.2799391150474548,0.2588428854942322,0.2860909104347229,0.2328857779502868,0.2142137736082077,0.2103418409824371,0.2328142970800399,0.2313738614320755,75,250243,8.4,cpu,ok,2026-08-22T00:00:24
baseline_ahgnn,45,random_fixed,42,0.2043627649545669,0.3500429391860962,15.501752495765686,0.2049235850572586,0.2261184155941009,0.2545834183692932,0.2302834689617157,0.286067247390747,0.2207084000110626,0.176154151558876,0.2326606065034866,0.2083560824394226,0.2199488878250122,75,250243,7.1,cpu,ok,2026-08-22T00:00:31
baseline_ahgnn,46,random_fixed,42,0.2134256958961486,0.2977482080459595,16.013528406620026,0.2026214152574539,0.22697114944458,0.2615272998809814,0.2126668244600296,0.2718332409858703,0.1959127932786941,0.1914994865655899,0.2063900679349899,0.2135155498981475,0.2191405147314071,100,250243,9.5,cpu,ok,2026-08-22T00:00:40
zone_concat,42,random_fixed,42,0.0833650007843971,0.1383723318576812,6.212564930319786,0.0817123800516128,0.0854119136929512,0.1037553921341896,0.0814427286386489,0.0951116755604744,0.0881786122918129,0.0789089575409889,0.0747149288654327,0.08372513204813,0.0864677727222442,100,358452,10.0,cpu,ok,2026-08-22T00:00:50
zone_concat,43,random_fixed,42,0.0780995562672615,0.1349667012691497,5.737367272377014,0.0773518159985542,0.0792474448680877,0.0916853174567222,0.0760241597890853,0.0844852402806282,0.0828616470098495,0.0751914605498313,0.072020836174488,0.0782751217484474,0.0848703533411026,100,358452,10.3,cpu,ok,2026-08-22T00:01:00
zone_concat,44,random_fixed,42,0.0742998868227005,0.1292795836925506,5.603533983230591,0.0731783136725425,0.0757454112172126,0.0844470337033271,0.0755765363574028,0.0805978253483772,0.0765822231769561,0.071039967238903,0.0692340284585952,0.0742146000266075,0.0760816931724548,100,358452,10.2,cpu,ok,2026-08-22T00:01:11
zone_concat,45,random_fixed,42,0.0798685997724533,0.1343397349119186,5.912434682250023,0.0781600698828697,0.0816007480025291,0.0989538133144378,0.0782280638813972,0.0920962169766426,0.0847666561603546,0.0761100351810455,0.0738899037241935,0.0801592022180557,0.0831410735845565,100,358452,10.0,cpu,ok,2026-08-22T00:01:21
zone_concat,46,random_fixed,42,0.0782348588109016,0.1326062977313995,5.828455835580826,0.0770278200507164,0.0800941586494445,0.090724229812622,0.0774394124746322,0.0873166620731353,0.078437440097332,0.0758186727762222,0.0713130757212638,0.0785913318395614,0.0807126313447952,100,358452,10.0,cpu,ok,2026-08-22T00:01:31
