variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,WAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
baseline_ahgnn,42,chrono,-1,0.2652891278266907,0.313686192035675,20.99475860595703,20.70152357257748,0.2622245550155639,0.2653560936450958,0.277449369430542,0.259956955909729,0.2696537375450134,0.261920154094696,0.2622634172439575,0.2584923803806305,0.2643679976463318,0.265419453382492,18,251608,1.9,cpu,ok,2026-09-12T20:18:52
baseline_ahgnn,43,chrono,-1,0.2663215398788452,0.3140611052513122,21.050962805747982,20.78208765602069,0.2648181617259979,0.2663390934467315,0.2676483988761902,0.2689156532287597,0.2725400328636169,0.2567355632781982,0.2649816870689392,0.2667957544326782,0.2662254273891449,0.265187919139862,18,251608,2.3,cpu,ok,2026-09-12T20:18:54
baseline_ahgnn,44,chrono,-1,0.2675142884254455,0.3121477663516998,21.21971696615219,20.875162614459665,0.2624974548816681,0.266155332326889,0.2761544287204742,0.263379693031311,0.2694388628005981,0.2554634511470794,0.2648206353187561,0.2644371688365936,0.2669072449207306,0.2663748562335968,18,251608,2.4,cpu,ok,2026-09-12T20:18:57
baseline_ahgnn,45,chrono,-1,0.2698927819728851,0.3210441768169403,21.258793771266937,21.06076644683946,0.2650173604488373,0.2703902125358581,0.2689216434955597,0.2666299939155578,0.2758706510066986,0.2574268877506256,0.2689943611621856,0.2723023295402527,0.2695284187793731,0.2693118155002594,19,251608,3.1,cpu,ok,2026-09-12T20:19:00
baseline_ahgnn,46,chrono,-1,0.271430641412735,0.324790358543396,21.444205939769745,21.18077049387955,0.2700656354427337,0.2702630758285522,0.2711673080921173,0.2687303721904754,0.2669554650783539,0.2717483937740326,0.2723332345485687,0.2698770761489868,0.2707362771034241,0.2698623836040497,18,251608,2.5,cpu,ok,2026-09-12T20:19:02
zone_concat,42,chrono,-1,0.253958135843277,0.3080068528652191,18.87359172105789,19.817324130236088,0.2510268688201904,0.2533620297908783,0.2596265077590942,0.2526852488517761,0.2557779550552368,0.250070720911026,0.252406895160675,0.2515139877796173,0.2532665729522705,0.2512317597866058,21,359145,3.5,cpu,ok,2026-09-12T20:19:06
zone_concat,43,chrono,-1,0.2531837522983551,0.3160149753093719,18.587617576122284,19.756895527666025,0.2503107786178589,0.2526181042194366,0.2588181793689728,0.2518433630466461,0.2548986971378326,0.2495318055152893,0.2516305446624756,0.2507820129394531,0.2525275647640228,0.2491263449192047,21,359145,3.2,cpu,ok,2026-09-12T20:19:09
zone_concat,44,chrono,-1,0.2549217641353607,0.3033563196659088,19.628269970417023,19.89252075706104,0.2521465122699737,0.254366010427475,0.2603168487548828,0.2537059485912323,0.2566103041172027,0.2513464689254761,0.253447413444519,0.2526184320449829,0.2542681396007538,0.2529564499855041,22,359145,3.1,cpu,ok,2026-09-12T20:19:12
zone_concat,45,chrono,-1,0.2548712193965912,0.327370136976242,18.793152272701263,19.888574702991647,0.2523062527179718,0.2542858719825744,0.2600379586219787,0.2534950673580169,0.2564073204994201,0.2523335218429565,0.2536040842533111,0.2535179555416107,0.2542373538017273,0.2506214082241058,25,359145,3.5,cpu,ok,2026-09-12T20:19:15
zone_concat,46,chrono,-1,0.249000534415245,0.2960435152053833,18.68462860584259,19.430463626049217,0.2461384236812591,0.2484627962112426,0.2544558644294739,0.2478864192962646,0.2505915462970733,0.2452133297920227,0.2473766952753067,0.2463840693235397,0.2483785152435302,0.2455274164676666,21,359145,3.3,cpu,ok,2026-09-12T20:19:19
zone_weight,42,chrono,-1,0.2610555291175842,0.306855708360672,19.774167239665985,20.371159862573844,0.2579599022865295,0.2606028914451599,0.2670384645462036,0.2601173222064972,0.2637839317321777,0.2571301758289337,0.2592733502388,0.2586413323879242,0.2604005336761474,0.2587789595127105,17,359145,2.8,cpu,ok,2026-09-12T20:19:22
zone_weight,43,chrono,-1,0.2513922154903412,0.2980072498321533,19.04161125421524,19.61709473042702,0.2480708062648773,0.2505213022232055,0.2585619986057281,0.2499350011348724,0.2541018724441528,0.2465878874063491,0.2494934946298599,0.2489888668060302,0.2505466938018799,0.2504471838474273,17,359145,2.6,cpu,ok,2026-09-12T20:19:24
zone_weight,44,chrono,-1,0.2526138722896576,0.2943107187747955,19.197604060173035,19.71242525527149,0.2496474236249923,0.2520666420459747,0.2588009536266327,0.2514949440956116,0.2548860013484955,0.2493298649787902,0.2508939504623413,0.2507309019565582,0.2519003450870514,0.2497349083423614,18,359145,2.5,cpu,ok,2026-09-12T20:19:27
zone_weight,45,chrono,-1,0.2502139508724212,0.3075982928276062,18.832775950431824,19.52515151232483,0.2473220080137252,0.2495578676462173,0.2556349337100982,0.2487567961215973,0.2522989511489868,0.2460891008377075,0.2486514151096344,0.2485506981611251,0.2495596706867218,0.2482604384422302,19,359145,2.7,cpu,ok,2026-09-12T20:19:29
zone_weight,46,chrono,-1,0.2541682124137878,0.312983363866806,19.05489414930344,19.833716162302924,0.2513085901737213,0.2534424960613251,0.2590269446372986,0.2527209818363189,0.2553147673606872,0.2501407265663147,0.2530008554458618,0.2517301142215729,0.2535151541233063,0.2517701983451843,18,359145,2.5,cpu,ok,2026-09-12T20:19:32
zone_full,42,chrono,-1,0.2536534368991852,0.2903950214385986,19.700026512146,19.7935465031882,0.2503531873226166,0.2528848052024841,0.2611801624298095,0.2522881627082824,0.2558483481407165,0.2494214326143264,0.2516258060932159,0.2504279613494873,0.2527226209640503,0.2515904605388641,17,359145,2.3,cpu,ok,2026-09-12T20:19:34
zone_full,43,chrono,-1,0.2520806193351745,0.2907864153385162,19.6092426776886,19.670815199364483,0.2488240748643875,0.2513201236724853,0.2592807710170746,0.2506104409694671,0.2543360888957977,0.2482347637414932,0.2501059770584106,0.2498526722192764,0.2512385249137878,0.2516027092933655,17,359145,2.4,cpu,ok,2026-09-12T20:19:36
zone_full,44,chrono,-1,0.2431435734033584,0.2867278456687927,18.912017345428467,18.97342255815248,0.240264356136322,0.2435826808214187,0.2484958171844482,0.2407215535640716,0.2432132512331009,0.2381431013345718,0.24151411652565,0.2385936677455902,0.2424886673688888,0.239634484052658,19,359145,2.6,cpu,ok,2026-09-12T20:19:39
zone_full,45,chrono,-1,0.2461263537406921,0.2991644442081451,18.851104378700256,19.20617959980912,0.2433567941188812,0.2451649308204651,0.2517977058887481,0.2447654008865356,0.2476988583803177,0.2425852864980697,0.2446174472570419,0.2445644438266754,0.2453617751598358,0.2434816807508468,19,359145,2.5,cpu,ok,2026-09-12T20:19:42
zone_full,46,chrono,-1,0.2493830323219299,0.2890029549598694,19.252167642116547,19.46031149672171,0.2455936074256897,0.2482795268297195,0.2588515281677246,0.2475185543298721,0.2524916231632232,0.2451155483722686,0.2470554709434509,0.246904969215393,0.2482443153858184,0.2474406659603119,17,359145,2.2,cpu,ok,2026-09-12T20:19:44
