variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,WAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,commit,timestamp
zone_full_tc,42,chrono,-1,0.2508592903614044,0.2937208414077759,19.12550777196884,19.57550841732428,0.2474576979875564,0.2500210106372833,0.2583715915679931,0.2492737025022506,0.2536666095256805,0.2461304366588592,0.2487828135490417,0.2482809126377105,0.2499605566263198,0.2488895207643509,5,359481,1.6,cpu,ok,9b1dc06,2026-09-22T18:29:37
zone_full_tc,43,chrono,-1,0.2431168258190155,0.2844805419445038,18.72066259384156,18.97133477423049,0.2401609569787979,0.2424555122852325,0.2497357726097107,0.24199740588665,0.2454105913639068,0.2395867854356765,0.2410519570112228,0.240941435098648,0.2423572391271591,0.2407728135585785,5,359481,1.6,cpu,ok,9b1dc06,2026-09-22T18:29:38
zone_full_sinc,42,chrono,-1,0.2538507580757141,0.2932631373405456,19.43848431110382,19.808944503183,0.2505788803100586,0.2531679570674896,0.2616273462772369,0.2527691125869751,0.2569013237953186,0.2499351501464843,0.2518486976623535,0.2511460185050964,0.2530043423175812,0.2522154450416565,5,362121,2.0,cpu,ok,9b1dc06,2026-09-22T18:29:40
zone_full_sinc,43,chrono,-1,0.2440768182277679,0.2917384207248688,18.70078295469284,19.04624648740422,0.2408347725868225,0.2434657365083694,0.2513127326965332,0.242807850241661,0.2469174414873123,0.2401372194290161,0.241988718509674,0.241906851530075,0.243245393037796,0.2420655041933059,5,362121,1.8,cpu,ok,9b1dc06,2026-09-22T18:29:42
zone_full,42,chrono,-1,0.2536534368991852,0.2903949916362762,19.700026512146,19.793548086041813,0.2503531575202942,0.2528848052024841,0.2611801624298095,0.2522881627082824,0.2558483481407165,0.2494214326143264,0.2516257762908935,0.2504279613494873,0.2527226209640503,0.2515904307365417,5,359145,0.5,cpu,ok,9b1dc06,2026-09-22T18:29:43
zone_full,43,chrono,-1,0.2520806193351745,0.2907864153385162,19.6092426776886,19.670815199364483,0.2488240748643875,0.2513201236724853,0.2592807412147522,0.2506104409694671,0.2543360888957977,0.2482347637414932,0.2501059770584106,0.2498526722192764,0.2512385249137878,0.2516027092933655,5,359145,0.6,cpu,ok,9b1dc06,2026-09-22T18:29:43
gcn_gru,42,chrono,-1,0.2513223588466644,0.3081105947494507,18.949906527996063,19.611643382567017,0.2486196160316467,0.2507742047309875,0.256579726934433,0.2500995099544525,0.2529346942901611,0.2477727830410003,0.2498771846294403,0.2489435672760009,0.2506807446479797,0.2490315735340118,5,34072,0.4,cpu,ok,9b1dc06,2026-09-22T18:29:44
gcn_gru,43,chrono,-1,0.2527192234992981,0.3104849755764007,18.939343094825745,19.7206465969628,0.2500820457935333,0.2521698474884033,0.2577770054340362,0.2515750825405121,0.2542100548744201,0.2494612038135528,0.2512907981872558,0.2504797577857971,0.2520983517169952,0.2501455545425415,5,34072,0.4,cpu,ok,9b1dc06,2026-09-22T18:29:44
lstm,42,chrono,-1,0.246889054775238,0.3039408326148987,18.416287004947662,19.265696478695286,0.2444040477275848,0.2460026293992996,0.2524410486221313,0.2453613430261612,0.2477817386388778,0.2430196404457092,0.245398610830307,0.2439871728420257,0.2461904734373092,0.2431109100580215,5,669080,0.6,cpu,ok,9b1dc06,2026-09-22T18:29:45
lstm,43,chrono,-1,0.2489735335111618,0.2995459139347076,18.81492584943772,19.42835684788381,0.2461944669485092,0.2480195015668869,0.2539890110492706,0.2477280497550964,0.2493757009506225,0.2456106692552566,0.2474465817213058,0.2467575073242187,0.2482053637504577,0.2462497353553772,5,669080,0.6,cpu,ok,9b1dc06,2026-09-22T18:29:45
stgcn,42,chrono,-1,0.2704188823699951,0.3344961106777191,19.80314999818802,21.10181933827297,0.2676872611045837,0.2698809504508972,0.2756862044334411,0.2691939771175384,0.271815150976181,0.2671340405941009,0.2690012753009796,0.2677890956401825,0.269802451133728,0.2677394449710846,5,31128,1.4,cpu,ok,9b1dc06,2026-09-22T18:29:47
stgcn,43,chrono,-1,0.26007694005966187,0.31879642605781555,19.04153823852539,20.29479667263251,0.25735002756118774,0.2596573531627655,0.26516813039779663,0.2588576078414917,0.26129409670829773,0.2565827965736389,0.25864291191101074,0.25711554288864136,0.25948527455329895,0.25721248984336853,5,31128,1.4,cpu,ok,9b1dc06,2026-09-22T18:29:48
