split_mode,metric,baseline,proposed,n_seeds,baseline_mean,proposed_mean,improvement_abs,improvement_pct,ci95_low,ci95_high,ci_excludes_zero,p_paired,p_welch,cohens_dz,hedges_g,recommended_test,p_paired_holm,p_welch_holm,p_recommended,p_recommended_holm,significant_holm
chrono,MAE,lstm,zone_full,2,0.24793129414319992,0.25286702811717987,-0.004935733973979936,-1.9907668336249476,-0.028170911758361408,0.018299443810401536,False,0.225880515863207,0.07090754021124228,-1.9085634178431605,-2.1601778159323928,paired,1.0,0.8508904825349073,0.225880515863207,1.0,False
chrono,RMSE,lstm,zone_full,2,0.30174337327480316,0.29059071838855743,0.011152654886245728,3.6960728466731902,-0.019255657575875336,0.04156096734836679,False,0.13456799812353623,0.12150057113896022,3.2952380608503504,2.8887067148366126,paired,1.0,1.0,0.13456799812353623,1.0,False
chrono,MAPE,lstm,zone_full,2,18.61560642719269,19.654634594917297,-1.0390281677246076,-5.581489766601696,-4.148380548404354,2.070324212955139,False,0.14725280503431493,0.10669053273130015,-3.002328640846558,-2.9044242835083462,paired,1.0,1.0,0.14725280503431493,1.0,False
chrono,WAPE,lstm,zone_full,2,19.347026663289547,19.732181642703146,-0.3851549794136009,-1.990770913364284,-2.1982875491278344,1.4279775903006324,False,0.2258804139510042,0.07090771050200607,-1.9085643556982808,-2.160178313352561,paired,1.0,0.8508904825349073,0.2258804139510042,1.0,False
chrono,MAE,lstm,zone_full_tc,2,0.24793129414319992,0.24698803573846817,0.0009432584047317505,0.3804515311354541,-0.06148860221484909,0.06337511902431259,False,0.8792551571876364,0.8490241473619335,0.13574544217059367,0.13444536912778424,paired,1.0,1.0,0.8792551571876364,1.0,False
chrono,RMSE,lstm,zone_full_tc,2,0.30174337327480316,0.28910069167613983,0.012642681598663302,4.189878790527533,-0.018140518529237117,0.043425881726563725,False,0.12053290633110494,0.1799025634017427,3.6899993172931853,1.412085628589069,paired,1.0,1.0,0.12053290633110494,1.0,False
chrono,MAPE,lstm,zone_full_tc,2,18.61560642719269,18.9230851829052,-0.30747875571250916,-1.6517257007720172,-5.412095002626489,4.797137491201471,False,0.5841207548627838,0.3922547438539311,-0.5411938684900613,-0.6184888276472348,paired,1.0,1.0,0.5841207548627838,1.0,False
chrono,WAPE,lstm,zone_full_tc,2,19.347026663289547,19.273420012923765,0.0736066503657824,0.3804545868820711,-4.7981884411557445,4.945401741887309,False,0.8792541704392387,0.8490227985559543,0.13574657856450778,0.13444658261365747,paired,1.0,1.0,0.8792541704392387,1.0,False
chrono,MAE,lstm,zone_full_sinc,2,0.24793129414319992,0.248963788151741,-0.0010324940085410933,-0.41644360067944725,-0.07637024119702288,0.07430525317994069,False,0.8902416126127716,0.8680760954056541,-0.12313336889068123,-0.11807316256594716,paired,1.0,1.0,0.8902416126127716,1.0,False
chrono,RMSE,lstm,zone_full_sinc,2,0.30174337327480316,0.2925007790327072,0.009242594242095947,3.0630645312228775,-0.008992093291228256,0.02747728177542015,False,0.09806511125378305,0.11912948966983271,4.554035512094021,2.2706829252539404,paired,1.0,1.0,0.09806511125378305,1.0,False
chrono,MAPE,lstm,zone_full_sinc,2,18.61560642719269,19.06963288784027,-0.45402646064757946,-2.4389560577750595,-7.673302615230821,6.765249693935662,False,0.5707945004380586,0.4196241666380891,-0.5650519270619067,-0.6188141445247011,paired,1.0,1.0,0.5707945004380586,1.0,False
chrono,WAPE,lstm,zone_full_sinc,2,19.347026663289547,19.42759549529361,-0.08056883200406162,-0.4164403833532662,-5.959465378988414,5.7983277149802905,False,0.8902425195667533,0.8680771134637391,-0.123132330971129,-0.11807221512467267,paired,1.0,1.0,0.8902425195667533,1.0,False
